question,player,stat,line,liquidity,volume,yes_won,end_date
Jarrett Allen: Rebounds O/U 2.5,Jarrett Allen,Rebounds,2.5,0.0,1103.4602,True,2026-04-29T23:30:00+00:00
Jakob Poeltl: Rebounds O/U 1.5,Jakob Poeltl,Rebounds,1.5,0.0,141.2544,True,2026-04-29T23:30:00+00:00
Dean Wade: Rebounds O/U 1.5,Dean Wade,Rebounds,1.5,0.0,150.0,True,2026-04-29T23:30:00+00:00
Ja'Kobe Walter: Rebounds O/U 0.5,Ja'Kobe Walter,Rebounds,0.5,0.0,99.9844,True,2026-04-29T23:30:00+00:00
Ja'Kobe Walter: Assists O/U 0.5,Ja'Kobe Walter,Assists,0.5,0.0,183.77230000000003,True,2026-04-29T23:30:00+00:00
Dean Wade: Assists O/U 0.5,Dean Wade,Assists,0.5,0.0,166.9385,True,2026-04-29T23:30:00+00:00
Jarrett Allen: Assists O/U 0.5,Jarrett Allen,Assists,0.5,0.0,165.7449,True,2026-04-29T23:30:00+00:00
LeBron James: Points O/U 23.5,LeBron James,Points,23.5,0.0,1802.155489,True,2026-04-29T04:00:00+00:00
Amen Thompson: Points O/U 18.5,Amen Thompson,Points,18.5,0.0,585.045862,False,2026-04-29T04:00:00+00:00
Jabari Smith Jr.: Points O/U 16.5,Jabari Smith Jr.,Points,16.5,0.0,477.428508,True,2026-04-29T04:00:00+00:00
Austin Reaves: Points O/U 15.5,Austin Reaves,Points,15.5,0.0,4007.146408999999,True,2026-04-29T04:00:00+00:00
Rui Hachimura: Points O/U 12.5,Rui Hachimura,Points,12.5,0.0,594.5598419999999,False,2026-04-29T04:00:00+00:00
Amen Thompson: Rebounds O/U 7.5,Amen Thompson,Rebounds,7.5,0.0,91.012354,False,2026-04-29T04:00:00+00:00
Jabari Smith Jr.: Rebounds O/U 7.5,Jabari Smith Jr.,Rebounds,7.5,0.0,96.102902,False,2026-04-29T04:00:00+00:00
Tari Eason: Rebounds O/U 7.5,Tari Eason,Rebounds,7.5,0.0,125.088631,False,2026-04-29T04:00:00+00:00
LeBron James: Rebounds O/U 7.5,LeBron James,Rebounds,7.5,0.0,586.324244,False,2026-04-29T04:00:00+00:00
Reed Sheppard: Rebounds O/U 3.5,Reed Sheppard,Rebounds,3.5,0.0,101.81002000000001,False,2026-04-29T04:00:00+00:00
LeBron James: Assists O/U 7.5,LeBron James,Assists,7.5,0.0,1326.510301,False,2026-04-29T04:00:00+00:00
Amen Thompson: Assists O/U 5.5,Amen Thompson,Assists,5.5,0.0,436.78941800000007,False,2026-04-29T04:00:00+00:00
Reed Sheppard: Assists O/U 4.5,Reed Sheppard,Assists,4.5,0.0,173.484383,True,2026-04-29T04:00:00+00:00
Marcus Smart: Assists O/U 4.5,Marcus Smart,Assists,4.5,0.0,5358.73628,False,2026-04-29T04:00:00+00:00
Luke Kennard: Assists O/U 2.5,Luke Kennard,Assists,2.5,0.0,277.92224500000003,False,2026-04-29T04:00:00+00:00
Deandre Ayton: Points O/U 3.5,Deandre Ayton,Points,3.5,0.0,119.6409,True,2026-04-30T02:00:00+00:00
